Ano,Mes,Dia,Visitantes,COVID
2018,12,14,145,0
2018,12,15,144,0
2018,12,16,2,0
2018,12,17,131,0
2018,12,18,355,0
2018,12,19,1853,0
2018,12,20,1267,0
2018,12,21,1264,0
2018,12,22,2215,0
2018,12,23,1760,0
2018,12,24,982,0
2018,12,26,1792,0
2018,12,27,1724,0
2018,12,28,1912,0
2018,12,29,2088,0
2018,12,30,1724,0
2018,12,31,1182,0
2019,1,2,1533,0
2019,1,3,1490,0
2019,1,4,1244,0
2019,1,5,1518,0
2019,1,6,813,0
2019,1,7,809,0
2019,1,8,679,0
2019,1,9,693,0
2019,1,10,694,0
2019,1,11,829,0
2019,1,12,1100,0
2019,1,13,940,0
2019,1,14,740,0
2019,1,15,563,0
2019,1,16,585,0
2019,1,17,651,0
2019,1,18,588,0
2019,1,19,572,0
2019,1,20,710,0
2019,1,21,734,0
2019,1,22,589,0
2019,1,23,507,0
2019,1,24,605,0
2019,1,25,734,0
2019,1,26,1240,0
2019,1,27,802,0
2019,1,28,713,0
2019,1,29,512,0
2019,1,30,433,0
2019,1,31,516,0
2019,2,1,685,0
2019,2,2,1033,0
2019,2,3,746,0
2019,2,4,721,0
2019,2,5,559,0
2019,2,6,610,0
2019,2,7,729,0
2019,2,8,836,0
2019,2,9,1295,0
2019,2,10,708,0
2019,2,11,754,0
2019,2,12,736,0
2019,2,13,725,0
2019,2,14,782,0
2019,2,15,963,0
2019,2,16,1386,0
2019,2,17,957,0
2019,2,18,820,0
2019,2,19,965,0
2019,2,20,986,0
2019,2,21,884,0
2019,2,22,1072,0
2019,2,23,1306,0
2019,2,24,996,0
2019,2,25,846,0
2019,2,26,831,0
2019,2,27,895,0
2019,2,28,900,0
2019,3,1,1157,0
2019,3,2,1647,0
2019,3,3,1177,0
2019,3,4,1524,0
2019,3,5,966,0
2019,3,6,840,0
2019,3,7,675,0
2019,3,8,1142,0
2019,3,9,1483,0
2019,3,10,1038,0
2019,3,11,776,0
2019,3,12,645,0
2019,3,13,737,0
2019,3,14,686,0
2019,3,15,787,0
2019,3,16,1151,0
2019,3,17,786,0
2019,3,18,758,0
2019,3,19,618,0
2019,3,20,546,0
2019,3,21,792,0
2019,3,22,723,0
2019,3,23,1171,0
2019,3,24,716,0
2019,3,25,677,0
2019,3,26,602,0
2019,3,27,592,0
2019,3,28,771,0
2019,3,29,927,0
2019,3,30,1050,0
2019,3,31,900,0
2019,4,1,810,0
2019,4,2,766,0
2019,4,3,819,0
2019,4,4,721,0
2019,4,5,875,0
2019,4,6,1196,0
2019,4,7,734,0
2019,4,8,1152,0
2019,4,9,1188,0
2019,4,10,1168,0
2019,4,11,1169,0
2019,4,12,1201,0
2019,4,13,1630,0
2019,4,14,1112,0
2019,4,15,1632,0
2019,4,16,1592,0
2019,4,17,1487,0
2019,4,18,1780,0
2019,4,19,1908,0
2019,4,20,1993,0
2019,4,21,1323,0
2019,4,22,1533,0
2019,4,23,1549,0
2019,4,24,999,0
2019,4,25,1527,0
2019,4,26,1397,0
2019,4,27,1286,0
2019,4,28,849,0
2019,4,29,1089,0
2019,4,30,1086,0
2019,5,1,1536,0
2019,5,2,1082,0
2019,5,3,1141,0
2019,5,4,1370,0
2019,5,5,1030,0
2019,5,6,927,0
2019,5,7,814,0
2019,5,8,646,0
2019,5,9,842,0
2019,5,10,908,0
2019,5,11,1093,0
2019,5,12,633,0
2019,5,13,629,0
2019,5,14,711,0
2019,5,15,636,0
2019,5,16,800,0
2019,5,17,911,0
2019,5,18,1136,0
2019,5,19,1143,0
2019,5,20,991,0
2019,5,21,773,0
2019,5,22,733,0
2019,5,23,796,0
2019,5,24,1056,0
2019,5,25,997,0
2019,5,26,839,0
2019,5,27,847,0
2019,5,28,931,0
2019,5,29,776,0
2019,5,30,959,0
2019,5,31,1043,0
2019,6,1,1153,0
2019,6,2,880,0
2019,6,3,986,0
2019,6,4,988,0
2019,6,5,912,0
2019,6,6,828,0
2019,6,7,1077,0
2019,6,8,1351,0
2019,6,9,1122,0
2019,6,10,1315,0
2019,6,11,1218,0
2019,6,12,1007,0
2019,6,13,1227,0
2019,6,14,1227,0
2019,6,15,1441,0
2019,6,16,980,0
2019,6,17,1174,0
2019,6,18,1153,0
2019,6,19,1025,0
2019,6,20,1427,0
2019,6,21,1244,0
2019,6,22,1191,0
2019,6,23,1064,0
2019,6,24,1201,0
2019,6,25,1109,0
2019,6,26,1144,0
2019,6,27,1191,0
2019,6,28,1090,0
2019,6,29,1297,0
2019,6,30,1179,0
2019,7,1,1450,0
2019,7,2,1543,0
2019,7,3,1604,0
2019,7,4,1612,0
2019,7,5,1556,0
2019,7,6,1770,0
2019,7,7,1502,0
2019,7,8,1619,0
2019,7,9,1656,0
2019,7,10,1567,0
2019,7,11,1250,0
2019,7,12,1855,0
2019,7,13,1917,0
2019,7,14,1534,0
2019,7,15,1754,0
2019,7,16,1985,0
2019,7,17,2017,0
2019,7,18,1508,0
2019,7,19,1689,0
2019,7,20,1477,0
2019,7,21,1255,0
2019,7,22,1615,0
2019,7,23,1589,0
2019,7,24,1476,0
2019,7,25,1928,0
2019,7,26,1780,0
2019,7,27,2084,0
2019,7,28,1251,0
2019,7,29,1932,0
2019,7,30,2078,0
2019,7,31,1782,0
2019,8,1,2208,0
2019,8,2,2009,0
2019,8,3,2062,0
2019,8,4,1739,0
2019,8,5,2077,0
2019,8,6,2322,0
2019,8,7,2437,0
2019,8,8,2442,0
2019,8,9,2187,0
2019,8,10,2103,0
2019,8,11,1896,0
2019,8,12,2382,0
2019,8,13,2534,0
2019,8,14,2023,0
2019,8,15,2018,0
2019,8,16,2090,0
2019,8,17,2258,0
2019,8,18,1860,0
2019,8,19,2724,0
2019,8,20,2121,0
2019,8,21,1902,0
2019,8,22,1773,0
2019,8,23,1868,0
2019,8,24,1819,0
2019,8,25,1600,0
2019,8,26,1972,0
2019,8,27,1724,0
2019,8,28,1900,0
2019,8,29,1349,0
2019,8,30,1503,0
2019,8,31,1669,0
2019,9,1,1087,0
2019,9,2,1580,0
2019,9,3,1419,0
2019,9,4,1410,0
2019,9,5,1434,0
2019,9,6,1243,0
2019,9,7,1404,0
2019,9,8,982,0
2019,9,9,1431,0
2019,9,10,1603,0
2019,9,11,1118,0
2019,9,12,943,0
2019,9,13,1209,0
2019,9,14,1193,0
2019,9,15,944,0
2019,9,16,1240,0
2019,9,17,1140,0
2019,9,18,1224,0
2019,9,19,1180,0
2019,9,20,1292,0
2019,9,21,1084,0
2019,9,22,1215,0
2019,9,23,1202,0
2019,9,24,1184,0
2019,9,25,1002,0
2019,9,26,1100,0
2019,9,27,1187,0
2019,9,28,1447,0
2019,9,29,1038,0
2019,9,30,1100,0
2019,10,1,942,0
2019,10,2,884,0
2019,10,3,825,0
2019,10,4,1327,0
2019,10,5,1880,0
2019,10,6,1271,0
2019,10,7,1009,0
2019,10,8,890,0
2019,10,9,1135,0
2019,10,10,814,0
2019,10,11,1103,0
2019,10,12,1687,0
2019,10,13,1127,0
2019,10,14,1095,0
2019,10,15,1054,0
2019,10,16,1085,0
2019,10,17,914,0
2019,10,18,1116,0
2019,10,19,1322,0
2019,10,20,1156,0
2019,10,21,1469,0
2019,10,22,1332,0
2019,10,23,1255,0
2019,10,24,905,0
2019,10,25,1049,0
2019,10,26,1605,0
2019,10,27,1334,0
2019,10,28,1026,0
2019,10,29,961,0
2019,10,30,843,0
2019,10,31,973,0
2019,11,1,1577,0
2019,11,2,1521,0
2019,11,3,929,0
2019,11,4,791,0
2019,11,5,666,0
2019,11,6,672,0
2019,11,7,561,0
2019,11,8,756,0
2019,11,9,1074,0
2019,11,10,894,0
2019,11,11,651,0
2019,11,12,655,0
2019,11,13,498,0
2019,11,14,469,0
2019,11,15,778,0
2019,11,16,1186,0
2019,11,17,517,0
2019,11,18,685,0
2019,11,19,387,0
2019,11,20,467,0
2019,11,21,573,0
2019,11,22,610,0
2019,11,23,1151,0
2019,11,24,568,0
2019,11,25,589,0
2019,11,26,351,0
2019,11,27,563,0
2019,11,28,629,0
2019,11,29,2043,0
2019,11,30,1757,0
2019,12,1,1204,0
2019,12,2,809,0
2019,12,3,499,0
2019,12,4,619,0
2019,12,5,738,0
2019,12,6,1528,0
2019,12,7,2490,0
2019,12,8,1476,0
2019,12,9,670,0
2019,12,10,604,0
2019,12,11,589,0
2019,12,12,421,0
2019,12,13,920,0
2019,12,14,1710,0
2019,12,15,850,0
2019,12,16,402,0
2019,12,17,715,0
2019,12,18,526,0
2019,12,19,248,0
2019,12,20,547,0
2019,12,21,1208,0
2019,12,22,1797,0
2019,12,23,1586,0
2019,12,24,1064,0
2019,12,26,1815,0
2019,12,27,2098,0
2019,12,28,2211,0
2019,12,29,1876,0
2019,12,30,1816,0
2019,12,31,1599,0
2020,1,2,1896,0
2020,1,3,2071,0
2020,1,4,2052,0
2020,1,5,1558,0
2020,1,6,931,0
2020,1,7,783,0
2020,1,8,756,0
2020,1,9,641,0
2020,1,10,830,0
2020,1,11,1257,0
2020,1,12,884,0
2020,1,13,724,0
2020,1,14,437,0
2020,1,15,551,0
2020,1,16,505,0
2020,1,17,763,0
2020,1,18,1100,0
2020,1,19,945,0
2020,1,20,628,0
2020,1,21,531,0
2020,1,22,614,0
2020,1,23,676,0
2020,1,24,658,0
2020,1,25,1139,0
2020,1,26,728,0
2020,1,27,623,0
2020,1,28,666,0
2020,1,29,855,0
2020,1,30,469,0
2020,1,31,628,0
2020,2,1,1042,0
2020,2,2,872,0
2020,2,3,726,0
2020,2,4,657,0
2020,2,5,656,0
2020,2,6,619,0
2020,2,7,788,0
2020,2,8,1102,0
2020,2,9,964,0
2020,2,10,757,0
2020,2,11,822,0
2020,2,12,784,0
2020,2,13,728,0
2020,2,14,941,0
2020,2,15,1279,0
2020,2,16,1076,0
2020,2,17,949,0
2020,2,18,860,0
2020,2,19,969,0
2020,2,20,772,0
2020,2,21,1101,0
2020,2,22,1537,0
2020,2,23,1267,0
2020,2,24,1555,0
2020,2,25,1436,0
2020,2,26,1085,0
2020,2,27,1039,0
2020,2,28,1327,0
2020,2,29,1206,0
2020,3,1,776,1
2020,3,2,720,1
2020,3,3,614,1
2020,3,4,636,1
2020,3,5,515,1
2020,3,6,661,1
2020,3,7,891,1
2020,3,8,705,1
2020,3,9,690,1
2020,3,10,510,1
2020,3,11,423,1
2020,3,12,417,1
2020,3,13,367,1
2020,3,14,463,1
2020,3,16,280,1
2020,3,17,138,1
2020,3,18,84,1
2020,3,19,6,1
2020,5,4,11,1
2020,5,5,6,1
2020,5,6,71,1
2020,5,7,43,1
2020,5,8,28,1
2020,5,9,97,1
2020,5,11,80,1
2020,5,12,63,1
2020,5,13,27,1
2020,5,14,34,1
2020,5,15,49,1
2020,5,16,123,1
2020,5,18,117,1
2020,5,19,104,1
2020,5,20,145,1
2020,5,21,106,1
2020,5,22,93,1
2020,5,23,261,1
2020,5,25,138,1
2020,5,26,130,1
2020,5,27,85,1
2020,5,28,93,1
2020,5,29,100,1
2020,5,30,229,1
2020,5,31,0,1
2020,6,1,227,1
2020,6,2,140,1
2020,6,3,135,1
2020,6,4,147,1
2020,6,5,165,1
2020,6,6,273,1
2020,6,8,173,1
2020,6,9,155,1
2020,6,10,211,1
2020,6,11,160,1
2020,6,12,179,1
2020,6,13,259,1
2020,6,15,117,1
2020,6,16,106,1
2020,6,17,106,1
2020,6,18,104,1
2020,6,19,109,1
2020,6,20,217,1
2020,6,22,64,1
2020,6,23,60,1
2020,6,24,75,1
2020,6,25,131,1
2020,6,26,104,1
2020,6,27,205,1
2020,6,29,113,1
2020,6,30,105,1
2020,7,1,106,1
2020,7,2,110,1
2020,7,3,102,1
2020,7,4,166,1
2020,7,5,114,1
2020,7,6,108,1
2020,7,7,103,1
2020,7,8,153,1
2020,7,9,136,1
2020,7,10,118,1
2020,7,11,150,1
2020,7,12,102,1
2020,7,13,120,1
2020,7,14,107,1
2020,7,15,117,1
2020,7,16,136,1
2020,7,17,92,1
2020,7,18,128,1
2020,7,19,154,1
2020,7,20,173,1
2020,7,21,162,1
2020,7,22,133,1
2020,7,23,164,1
2020,7,24,170,1
2020,7,25,245,1
2020,7,26,117,1
2020,7,27,211,1
2020,7,28,202,1
2020,7,29,194,1
2020,7,30,205,1
2020,7,31,191,1
2020,8,1,267,1
2020,8,2,171,1
2020,8,3,371,1
2020,8,4,243,1
2020,8,5,213,1
2020,8,6,258,1
2020,8,7,270,1
2020,8,8,304,1
2020,8,9,261,1
2020,8,10,387,1
2020,8,11,407,1
2020,8,12,432,1
2020,8,13,415,1
2020,8,14,420,1
2020,8,15,447,1
2020,8,16,369,1
2020,8,17,565,1
2020,8,18,404,1
2020,8,19,305,1
2020,8,20,492,1
2020,8,21,359,1
2020,8,22,329,1
2020,8,23,333,1
2020,8,24,286,1
2020,8,25,265,1
2020,8,26,254,1
2020,8,27,307,1
2020,8,28,284,1
2020,8,29,418,1
2020,8,30,322,1
2020,8,31,221,1
2020,9,1,286,1
2020,9,2,288,1
2020,9,3,162,1
2020,9,4,199,1
2020,9,5,267,1
2020,9,6,187,1
2020,9,7,243,1
2020,9,8,169,1
2020,9,9,246,1
2020,9,10,171,1
2020,9,11,204,1
2020,9,12,286,1
2020,9,13,229,1
2020,9,14,219,1
2020,9,15,206,1
2020,9,16,179,1
2020,9,17,196,1
2020,9,18,157,1
2020,9,19,345,1
2020,9,20,234,1
2020,9,21,194,1
2020,9,22,166,1
2020,9,23,157,1
2020,9,24,198,1
2020,9,25,162,1
2020,9,26,324,1
2020,9,27,244,1
2020,9,28,201,1
2020,9,29,142,1
2020,9,30,149,1
2020,10,1,146,1
2020,10,2,136,1
2020,10,3,351,1
2020,10,4,238,1
2020,10,5,270,1
2020,10,6,143,1
2020,10,7,134,1
2020,10,8,125,1
2020,10,9,110,1
2020,10,10,319,1
2020,10,11,239,1
2020,10,12,162,1
2020,10,13,101,1
2020,10,14,103,1
2020,10,15,105,1
2020,10,16,116,1
2020,10,17,279,1
2020,10,18,209,1
2020,10,19,77,1
2020,10,20,48,1
2020,10,21,109,1
2020,10,22,152,1
2020,10,23,134,1
2020,10,24,234,1
2020,10,25,114,1
2020,10,26,149,1
2020,10,27,207,1
2020,10,28,119,1
2020,10,29,128,1
2020,10,30,122,1
2020,10,31,198,1
2020,11,1,149,1
2020,11,2,85,1
2020,11,3,105,1
2020,11,4,78,1
2020,11,5,84,1
2020,11,6,56,1
2020,11,7,172,1
2020,11,8,148,1
2020,11,9,71,1
2020,11,10,75,1
2020,11,11,73,1
2020,11,12,70,1
2020,11,13,101,1
2020,11,14,39,1
2020,11,15,27,1
2020,11,16,91,1
2020,11,17,67,1
2020,11,18,75,1
2020,11,19,81,1
2020,11,20,87,1
2020,11,21,55,1
2020,11,22,67,1
2020,11,23,132,1
2020,11,24,88,1
2020,11,25,92,1
2020,11,26,210,1
2020,11,27,379,1
2020,11,28,104,1
2020,11,29,104,1
2020,11,30,124,1
2020,12,1,92,1
2020,12,2,164,1
2020,12,3,138,1
2020,12,4,69,1
2020,12,5,67,1
2020,12,6,71,1
2020,12,7,113,1
2020,12,8,77,1
2020,12,9,124,1
2020,12,10,91,1
2020,12,11,134,1
2020,12,12,89,1
2020,12,13,75,1
2020,12,14,140,1
2020,12,15,193,1
2020,12,16,126,1
2020,12,17,203,1
2020,12,18,231,1
2020,12,19,144,1
2020,12,20,135,1
2020,12,21,424,1
2020,12,22,429,1
2020,12,23,364,1
2020,12,24,204,1
2020,12,26,124,1
2020,12,27,71,1
2020,12,28,460,1
2020,12,29,397,1
2020,12,30,413,1
2020,12,31,216,1
2021,1,2,112,1
2021,1,3,74,1
2021,1,4,206,1
2021,1,5,161,1
2021,1,6,156,1
2021,1,7,165,1
2021,1,8,140,1
2021,1,9,84,1
2021,1,10,79,1
2021,1,11,155,1
2021,1,12,139,1
2021,1,13,155,1
2021,1,14,114,1
2021,1,15,0,1
2021,1,19,1,1
2021,1,20,2,1
